item_type,song_name,song_duration_ms,artists,album_name,release_date,song_preview_url,song_url,popularity,genre
track,Tennessee Whiskey,293293,Chris Stapleton,Traveller,2015,,https://open.spotify.com/track/3fqwjXwUGN6vbzIwvyFMhx,82,country
track,Chasin' You,205453,Morgan Wallen,If I Know Me,2018,https://p.scdn.co/mp3-preview/0f91ed4fde6bba8680c193da321bf882e09115d9?cid=c17b2cc765cd4ad9b5353574849a4496,https://open.spotify.com/track/5MwynWK9s4hlyKHqhkNn4A,81,country
track,Whiskey Glasses,234346,Morgan Wallen,If I Know Me,2018,https://p.scdn.co/mp3-preview/8bfbda21b7e6c086f8d5461c05226cbf2f3e31fa?cid=c17b2cc765cd4ad9b5353574849a4496,https://open.spotify.com/track/6foY66mWZN0pSRjZ408c00,81,country
track,When It Rains It Pours,240760,Luke Combs,This One's for You,2017,https://p.scdn.co/mp3-preview/034066bcc59420c96bc025ed2f204ee2cb9c975d?cid=c17b2cc765cd4ad9b5353574849a4496,https://open.spotify.com/track/1mMLMZYXkMueg65jRRWG1l,80,country
track,Beautiful Crazy,193200,Luke Combs,This One's for You Too (Deluxe Edition),2018,https://p.scdn.co/mp3-preview/7160f5cd6c0e3aff6e2251b018bb0b88d2b8c101?cid=c17b2cc765cd4ad9b5353574849a4496,https://open.spotify.com/track/2rxQMGVafnNaRaXlRMWPde,80,country
track,Yellow,266773,Coldplay,Parachutes,2000,https://p.scdn.co/mp3-preview/c0d9119dc69cae75baf6463e21e43f433fdf5ff4?cid=c17b2cc765cd4ad9b5353574849a4496,https://open.spotify.com/track/3AJwUDP919kvQ9QcozQPxg,89,rock
track,Believer,204346,Imagine Dragons,Evolve,2017,,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP,88,rock
track,Do I Wanna Know?,272394,Arctic Monkeys,AM,2013,https://p.scdn.co/mp3-preview/006bc465fe3d1c04dae93a050eca9d402a7322b8?cid=c17b2cc765cd4ad9b5353574849a4496,https://open.spotify.com/track/5FVd6KXrgO9B3JPmC8OPst,87,rock
track,Stressed Out,202333,Twenty One Pilots,Blurryface,2015,https://p.scdn.co/mp3-preview/d01bb6b4b9952d95d2609632474cda8e632e044d?cid=c17b2cc765cd4ad9b5353574849a4496,https://open.spotify.com/track/3CRDbSIZ4r5MsZ0YwxuEkn,85,rock
track,Mr. Brightside,222973,The Killers,Hot Fuss,2004,,https://open.spotify.com/track/003vvx7Niy0yvhvHt4a68B,85,rock
track,Experience,315426,"Daniel Hope, I Virtuosi Italiani, Ludovico Einaudi",In A Time Lapse,2013,,https://open.spotify.com/track/1BncfTJAWxrsxyT9culBrj,78,classical
track,"Comptine d'un autre été, l'après-midi",140733,Yann Tiersen,Le Fabuleux destin d'Amélie Poulain (Bande originale du film),2001,https://p.scdn.co/mp3-preview/df24e196f6607178532177beefb9acf8b73fa68b?cid=c17b2cc765cd4ad9b5353574849a4496,https://open.spotify.com/track/14rZjW3RioG7WesZhYESso,73,classical
track,Nuvole Bianche,357706,Ludovico Einaudi,Una Mattina,2004,,https://open.spotify.com/track/3weNRklVDqb4Rr5MhKBR3D,72,classical
track,"The Carnival of the Animals, R. 125: XIII. The Swan (Arr. for Cello and Piano)",174266,"Camille Saint-Saëns, Kathryn Stott, Yo-Yo Ma",Songs from the Arc of Life,2015,https://p.scdn.co/mp3-preview/1b3cb310d4e62e0c5a727500891a931866492103?cid=c17b2cc765cd4ad9b5353574849a4496,https://open.spotify.com/track/0jOnZhF75V68VsBObWx2XO,71,classical
track,"Sonata No. 14 ""Moonlight"" in C-Sharp Minor"", Op. 27 No. 2: I. Adagio sostenuto",315426,"Ludwig van Beethoven, Paul Lewis","Beethoven: Piano Sonatas, Vol.3",2007,https://p.scdn.co/mp3-preview/4423bbe58e0471b17db02036ac93f9e1696dc663?cid=c17b2cc765cd4ad9b5353574849a4496,https://open.spotify.com/track/3DNRdudZ2SstnDCVKFdXxG,70,classical
track,No Role Modelz,292799,J. Cole,2014 Forest Hills Drive,2014,,https://open.spotify.com/track/68Dni7IE4VyPkTOH9mRWHr,89,hip-hop
