item_type,song_name,song_duration_ms,artists,album_name,release_date,song_preview_url,song_url,popularity,genre
track,Tennessee Whiskey,293293,Chris Stapleton,Traveller,2015,,https://open.spotify.com/track/3fqwjXwUGN6vbzIwvyFMhx,82,country
track,Chasin' You,205453,Morgan Wallen,If I Know Me,2018,https://p.scdn.co/mp3-preview/0f91ed4fde6bba8680c193da321bf882e09115d9?cid=c17b2cc765cd4ad9b5353574849a4496,https://open.spotify.com/track/5MwynWK9s4hlyKHqhkNn4A,81,country
track,Whiskey Glasses,234346,Morgan Wallen,If I Know Me,2018,https://p.scdn.co/mp3-preview/8bfbda21b7e6c086f8d5461c05226cbf2f3e31fa?cid=c17b2cc765cd4ad9b5353574849a4496,https://open.spotify.com/track/6foY66mWZN0pSRjZ408c00,81,country
track,When It Rains It Pours,240760,Luke Combs,This One's for You,2017,https://p.scdn.co/mp3-preview/034066bcc59420c96bc025ed2f204ee2cb9c975d?cid=c17b2cc765cd4ad9b5353574849a4496,https://open.spotify.com/track/1mMLMZYXkMueg65jRRWG1l,80,country
track,Beautiful Crazy,193200,Luke Combs,This One's for You Too (Deluxe Edition),2018,https://p.scdn.co/mp3-preview/7160f5cd6c0e3aff6e2251b018bb0b88d2b8c101?cid=c17b2cc765cd4ad9b5353574849a4496,https://open.spotify.com/track/2rxQMGVafnNaRaXlRMWPde,80,country
track,Before He Cheats,199946,Carrie Underwood,Some Hearts,2005,https://p.scdn.co/mp3-preview/8dcbc4c73d9300b77c0df17c47cee1c54c07ab77?cid=c17b2cc765cd4ad9b5353574849a4496,https://open.spotify.com/track/0ZUo4YjG4saFnEJhdWp9Bt,79,country
track,You're Still The One,212200,Shania Twain,Come On Over,1997,,https://open.spotify.com/track/1wb4P4F0sxAQ2KXrRvsx6n,78,country
track,She Got the Best of Me,183160,Luke Combs,This One's for You Too (Deluxe Edition),2018,https://p.scdn.co/mp3-preview/62987b51b76bd417ac56812161cf825d4c22f549?cid=c17b2cc765cd4ad9b5353574849a4496,https://open.spotify.com/track/698eQRku24PIYPQPHItKlA,78,country
track,Man! I Feel Like A Woman!,234493,Shania Twain,Come On Over,1997,,https://open.spotify.com/track/6sxptembJVty4sNtcPMAVz,78,country
track,Heartless (feat. Morgan Wallen),169226,"Diplo, Morgan Wallen",Diplo Presents Thomas Wesley Chapter 1: Snake Oil,2020,https://p.scdn.co/mp3-preview/64f9de825007fbd32c5c066346961cfcdb8d0eaa?cid=c17b2cc765cd4ad9b5353574849a4496,https://open.spotify.com/track/3FU6urUVsgXa6RBuV2PdRk,78,country
track,Wagon Wheel,298373,Darius Rucker,True Believers,2013,,https://open.spotify.com/track/3xdjjKMcMOFgo1eQrfbogM,77,country
track,Chicken Fried,238146,Zac Brown Band,The Foundation,2008,https://p.scdn.co/mp3-preview/88d6f7a1fa2c4714a6a77ca64d6af26ec952830a?cid=c17b2cc765cd4ad9b5353574849a4496,https://open.spotify.com/track/0LQtEJt7x0s6knb6RKdRYc,77,country
track,Beer Never Broke My Heart,186733,Luke Combs,What You See Is What You Get,2019,https://p.scdn.co/mp3-preview/545db391946df7d9cd3a7ac7fbc79b128e4b2ee5?cid=c17b2cc765cd4ad9b5353574849a4496,https://open.spotify.com/track/7aEtlGHoiPAfRB084NiDmx,77,country
track,Hurricane,222533,Luke Combs,This One's for You,2017,https://p.scdn.co/mp3-preview/31ef150abff28c93d67135d2abbe287b34f5fb84?cid=c17b2cc765cd4ad9b5353574849a4496,https://open.spotify.com/track/6xHI9KjUjYT0FPtGO8Mxa1,76,country
track,Country Girl (Shake It For Me),225560,Luke Bryan,Tailgates & Tanlines,2011,,https://open.spotify.com/track/0JbSghVDghtFEurrSO8JrC,76,country
track,Night Shift,172253,Jon Pardi,California Sunrise,2016,,https://open.spotify.com/track/0bPnT6i9H1p8Vd85GS6Z7I,75,country
track,In Case You Didn't Know,224853,Brett Young,Brett Young,2017,,https://open.spotify.com/track/10M2Ex445zw585Ducldzkw,75,country
